Surface,Molecule Group,Molecule,Initial Site,DFT Energy (System),DFT Energy (Slab),DFT Energy (Gas),Adsorption Energy
RuO2,thiols_thials_thioketones_thioethers,Ethanethiol,Oxygen Bridge,-943.62203121,-899.06307944,-44.23571075,-0.323241020000019
RuO2,thiols_thials_thioketones_thioethers,Ethanethiol,Metal Bridge,-944.0360001,-899.06307944,-44.23571075,-0.737209909999997
RuO2,thiols_thials_thioketones_thioethers,Ethanethial,Metal,-936.7551236,-899.06307944,-36.02016119,-1.67188297000002
RuO2,thiols_thials_thioketones_thioethers,Ethanethial,Metal,-936.8635047,-899.06307944,-36.02016119,-1.78026406999999
RuO2,thiols_thials_thioketones_thioethers,Ethanethial,Hole,-935.56940657,-899.06307944,-36.02016119,-0.486165939999928
RuO2,thiols_thials_thioketones_thioethers,Ethanethial,Oxygen,-935.27294772,-899.06307944,-36.02016119,-0.18970709000002
RuO2,thiols_thials_thioketones_thioethers,Ethanethial,Oxygen Bridge,-935.41570933,-899.06307944,-36.02016119,-0.3324687
RuO2,thiols_thials_thioketones_thioethers,Ethanethial,Oxygen Bridge,-935.29735306,-899.06307944,-36.02016119,-0.21411242999995
RuO2,thiols_thials_thioketones_thioethers,Ethanethial,Metal Bridge,-936.48279626,-899.06307944,-36.02016119,-1.39955562999996
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Metal,-956.23200276,-899.06307944,-55.39214344,-1.77677987999998
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Metal,-958.16153466,-899.06307944,-55.39214344,-3.70631178000001
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Metal,-956.51157458,-899.06307944,-55.39214344,-2.05635169999998
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Hole,-958.04370615,-899.06307944,-55.39214344,-3.58848327000003
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Oxygen,-955.84961619,-899.06307944,-55.39214344,-1.39439330999998
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Oxygen Bridge,-955.85951585,-899.06307944,-55.39214344,-1.40429296999996
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Oxygen Bridge,-957.10700886,-899.06307944,-55.39214344,-2.65178597999993
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Metal Bridge,-958.15547102,-899.06307944,-55.39214344,-3.70024814000003
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thiol,Metal Bridge,-956.61707699,-899.06307944,-55.39214344,-2.16185410999996
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thione,Metal,-953.59465681,-899.06307944,-52.82969409,-1.70188327999993
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thione,Metal,-954.01779306,-899.06307944,-52.82969409,-2.12501953000001
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thione,Hole,-954.02115662,-899.06307944,-52.82969409,-2.12838309000004
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thione,Oxygen,-952.09845307,-899.06307944,-52.82969409,-0.205679539999984
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thione,Oxygen Bridge,-953.72155596,-899.06307944,-52.82969409,-1.82878243000003
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thione,Metal Bridge,-953.74138003,-899.06307944,-52.82969409,-1.84860649999994
RuO2,thiols_thials_thioketones_thioethers,Propane-2-thione,Metal Bridge,-953.10984289,-899.06307944,-52.82969409,-1.21706935999996
RuO2,thiols_thials_thioketones_thioethers,Dimethylsulfane,Metal,-945.11129085,-899.06307944,-44.21384748,-1.83436393000002
RuO2,thiols_thials_thioketones_thioethers,Dimethylsulfane,Metal,-944.96186383,-899.06307944,-44.21384748,-1.68493690999995
RuO2,thiols_thials_thioketones_thioethers,Dimethylsulfane,Hole,-943.90031597,-899.06307944,-44.21384748,-0.623389049999929
RuO2,thiols_thials_thioketones_thioethers,Dimethylsulfane,Oxygen,-943.64040668,-899.06307944,-44.21384748,-0.363479759999933
RuO2,thiols_thials_thioketones_thioethers,Dimethylsulfane,Oxygen,-945.08145307,-899.06307944,-44.21384748,-1.80452614999993
RuO2,thiols_thials_thioketones_thioethers,Dimethylsulfane,Oxygen Bridge,-943.44307392,-899.06307944,-44.21384748,-0.166146999999938
RuO2,amines,Methanamine,Metal,-936.80283588,-899.06307944,-35.67896405,-2.06079238999995
RuO2,amines,Methanamine,Hole,-936.79460357,-899.06307944,-35.67896405,-2.05256008000003
RuO2,amines,Methanamine,Hole,-936.75707969,-899.06307944,-35.67896405,-2.01503619999993
RuO2,amines,Methanamine,Hole,-936.8,-899.06307944,-35.67896405,-2.05795650999993
RuO2,amines,Methanamine,Oxygen,-935.5018787,-899.06307944,-35.67896405,-0.759835209999999
RuO2,amines,Methanamine,Oxygen Bridge,-935.05229534,-899.06307944,-35.67896405,-0.310251849999979
RuO2,amines,Ethanamine,Metal,-953.49749893,-899.06307944,-52.33105605,-2.10336343999998
RuO2,amines,Ethanamine,Metal,-953.49168436,-899.06307944,-52.33105605,-2.09754887
RuO2,amines,Ethanamine,Hole,-953.47727122,-899.06307944,-52.33105605,-2.08313573000001
RuO2,amines,Ethanamine,Hole,-953.49658536,-899.06307944,-52.33105605,-2.10244987000002
RuO2,amines,Ethanamine,Oxygen,-952.18808322,-899.06307944,-52.33105605,-0.793947729999928
RuO2,amines,Ethanamine,Oxygen,-951.67638192,-899.06307944,-52.33105605,-0.282246430000015
RuO2,amines,Ethanamine,Oxygen,-951.72414126,-899.06307944,-52.33105605,-0.330005769999985
RuO2,amines,Ethanamine,Metal Bridge,-952.19853874,-899.06307944,-52.33105605,-0.804403249999979
RuO2,amines,Propan-2-amine,Metal,-966.45821532,-899.06307944,-63.59418066,-3.80095522
RuO2,amines,Propan-2-amine,Metal,-966.60532835,-899.06307944,-63.59418066,-3.94806825000001
RuO2,amines,Propan-2-amine,Metal,-966.60577635,-899.06307944,-63.59418066,-3.94851625000002
RuO2,amines,Propan-2-amine,Hole,-964.49787086,-899.06307944,-63.59418066,-1.84061076000001
RuO2,amines,Propan-2-amine,Oxygen,-966.54451832,-899.06307944,-63.59418066,-3.88725821999993
RuO2,amines,Propan-2-amine,Oxygen,-965.48796658,-899.06307944,-63.59418066,-2.83070648000001
RuO2,amines,Propan-2-amine,Oxygen Bridge,-965.71071856,-899.06307944,-63.59418066,-3.05345846000001
RuO2,amines,Propan-2-amine,Metal Bridge,-966.61797123,-899.06307944,-63.59418066,-3.96071112999994
RuO2,amines,Trimethylamine,Metal,-969.15853252,-899.06307944,-68.3963003,-1.69915277999998
RuO2,amines,Trimethylamine,Metal,-969.15851066,-899.06307944,-68.3963003,-1.69913092000003
RuO2,amines,Trimethylamine,Oxygen,-967.94120746,-899.06307944,-68.3963003,-0.48182771999997
RuO2,amines,Trimethylamine,Oxygen Bridge,-967.82389004,-899.06307944,-68.3963003,-0.36451030000002
RuO2,amines,Trimethylamine,Metal Bridge,-968.24834994,-899.06307944,-68.3963003,-0.788970200000009
RuO2,imines,Methanimine,Metal,-928.46462225,-899.06307944,-27.40609055,-1.99545226000003
